timestamp,productTitle,rating,price,Brand,Model Name,Screen Size,Colour,Hard Disk Size,CPU Model,RAM Memory Installed Size,Operating System,Special Feature,Graphics Card Description,images,adds
17/06/26-18-41-23,"HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop",4.0,"54,690",HP,HP Laptop,15.6 Inches,Silver,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Anti Glare Coating, Micro Edge Display, Thin",Integrated,"https://m.media-amazon.com/images/I/71E9OtyEmyL._SL1500_.jpg, https://m.media-amazon.com/images/I/71vXxm27qbL._SL1500_.jpg, https://m.media-amazon.com/images/I/81LsqtTDv2L._SL1500_.jpg, https://m.media-amazon.com/images/I/71IbTtWfpjL._SL1500_.jpg, https://m.media-amazon.com/images/I/71xOESvzprL._SL1500_.jpg","Sold by Clicktech Retail Private Ltd and ships from Amazon Fulfillment., Dyazo Water Resistant Laptop Sleeve/Laptop case/laptop cover with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey, Sold by Clicktech Retail Private Ltd and ships from Amazon Fulfillment., LS LAPSTER Quality Assured Lapster Universal Silicone 15.6"" Keyboard Protector Skin|| Keyboard Dust Cover|| Keyboard Skin for 15.6"" Laptop 15.6"" Keyguard 3.93 x 11.81 x 0.39 inches, Sold by Clicktech Retail Private Ltd and ships from Amazon Fulfillment."
17/06/26-19-37-42,"Dell 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Grey, 1.66kg, [Vostro 3530], 12 Month McAfee, Thin & Light Laptop",3.8,"63,490",Dell,Vostro 3530,15.6 Inches,Titan Grey,512 GB,Core i5,16 GB,Windows 11 Home,10 Key Numeric Pad,Integrated,"https://m.media-amazon.com/images/I/81ccvDyD7JL._SL1500_.jpg, https://m.media-amazon.com/images/I/613Spym7-iL._SL1080_.jpg, https://m.media-amazon.com/images/I/61xkR83q-dL._SL1080_.jpg, https://m.media-amazon.com/images/I/61cbM95yWnL._SL1080_.jpg, https://m.media-amazon.com/images/I/61n-ZhMhghL._SL1080_.jpg","Sold by Clicktech Retail Private Ltd and ships from Amazon Fulfillment., Dell EcoLoop CP3724 Laptop Backpack |Water-Resistant Recycled Polyester | Lightweight Design, Padded Compartment, Anti-Scratch Lining & Comfortable Shoulder Straps, Sold by LINO TECH and ships from Amazon Fulfillment., Dell WM118 Wireless Mouse, 1000DPI, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Plug and Play, Ambidextrous - Black, Sold by Clicktech Retail Private Ltd and ships from Amazon Fulfillment."
